1,"What is the meaning of life?"
2,"What is a skill you wish your partner would teach you?"
3,"What's your ideal setting for a deep, uninterrupted conversation?"
4,"What fictional couple do you think has the healthiest relationship and why?"
5,"What is one thing you’ve learned about yourself from a past relationship?"
6,"If we had a “couple’s theme song,” what would it be?"
7,"What does emotional safety mean to you in a relationship?"
8,"Describe a perfect lazy Sunday morning together."
9,"What kind of legacy do you hope to build as a couple?"
10,"What quality in a person makes you immediately feel comfortable?"
11,"What is your most cherished memory of a date or special occasion?"
12,"How do you prefer to handle stress or disappointment when you are around others?"
13,"What is the sweetest non-monetary gift you have ever given or received?"
14,"What is one thing that you know you can always count on me for?"
15,"What is a small gesture of affection that means more than a grand one?"
16,"If suffering is necessary for growth, is true happiness detrimental to the soul?"
17,"Is an absolute truth knowable, or is all understanding subjective?"
18,"Does the pursuit of meaning inherently imply that life has no inherent meaning?"
19,"If you could remove one human emotion entirely, which would it be and why?"
20,"Is free will truly possible if every action is a result of prior causes and genetic code?"
21,"What is the difference between wisdom and intelligence?"
22,"If you had to define 'goodness' in a single sentence, what would it be?"
23,"Is the goal of technological progress to free us from labor, and if so, what do we do with that freedom?"
24,"What is the most important lesson you've learned from a book, movie, or piece of art?"
25,"Do humans create value, or do we simply discover the value that already exists?"
26,"Is it more important to be respected or to be liked?"
27,"What current societal norm do you find the most irrational?"
28,"Would you rather have a photographic memory but only for things you don't care about, or have perfect foresight but only 10 seconds into the future?"
29,"You can save 100 strangers or one person you love. Which do you choose, and does your decision haunt you?"
30,"Would you rather live a long, comfortable life that is entirely average, or a short life filled with incredible highs and dangerous lows?"
31,"A genius develops a pill that permanently cures sadness but also removes the capacity for joy. Would you take it?"
32,"You accidentally discover a flaw in a major company's product that would destroy their business if exposed. Do you expose it, or accept a quiet, generous settlement?"
33,"Would you rather be able to speak every human language or speak perfectly with every animal?"
34,"You have the power to stop all war, but the cost is that all music must disappear forever. Do you accept the trade?"
35,"Would you rather know when you are going to die or how you are going to die?"
36,"You have to commit one petty crime every month to keep your house from being flooded. What is the most harmless one you would choose?"
37,"Would you rather wear the same outfit every day or eat the same meal every day?"
38,"A time machine can take you one year into the past to change one thing, but that one change will also erase one of your current best friends from existence. Do you go?"
39,"Would you rather have to whisper everything or shout everything?"
40,"You must give up your favorite hobby or your favorite food forever. Which one is easier to sacrifice?"
41,"If you were arrested with no explanation, what would your friends and family immediately assume you did?"
42,"What movie title best describes your dating history?"
43,"What is the most ridiculous fear you have, even if you know it's irrational?"
44,"Which cartoon character's wardrobe would you happily adopt?"
45,"What's the best Wi-Fi network name you've ever seen?"
46,"If animals could talk, which one would be the rudest?"
47,"What is a product that you bought that was so terrible it was actually funny?"
48,"What piece of trivial knowledge do you possess that makes you strangely proud?"
49,"You have to teach a class on any subject, but you must lie constantly. What subject do you teach?"
50,"What is the dumbest thing you have ever argued about?"
