1,"What is the meaning of life?""
2,"What is a skill you wish your partner would teach you?""
3,"What's your ideal setting for a deep, uninterrupted conversation?""
4,"What fictional couple do you think has the healthiest relationship and why?""
5,"What is one thing you’ve learned about yourself from a past relationship?""
6,"What is the meaning of life?""
7,"What is a skill you wish your partner would teach you?""
8,"What's your ideal setting for a deep, uninterrupted conversation?""
9,"What fictional couple do you think has the healthiest relationship and why?""
10,"What is one thing you've learned about yourself from a past relationship?""
11,"If we had a "couple's theme song," what would it be?""
12,"What does emotional safety mean to you in a relationship?""
13,"Describe a perfect lazy Sunday morning together.""
14,"What kind of legacy do you hope to build as a couple?""
15,"What quality in a person makes you immediately feel comfortable?""
16,"What is your most cherished memory of a date or special occasion?""
17,"How do you prefer to handle stress or disappointment when you are around others?""
18,"What is the sweetest non-monetary gift you have ever given or received?""
19,"What is one thing that you know you can always count on me for?""
20,"What is a small gesture of affection that means more than a grand one?""
21,"If suffering is necessary for growth, is true happiness detrimental to the soul?""
22,"Is an absolute truth knowable, or is all understanding subjective?""
23,"Does the pursuit of meaning inherently imply that life has no inherent meaning?""
24,"If you could remove one human emotion entirely, which would it be and why?""
25,"Is free will truly possible if every action is a result of prior causes and genetic code?""
26,"What is the difference between wisdom and intelligence?""
27,"If you had to define 'goodness' in a single sentence, what would it be?""
28,"Is the goal of technological progress to free us from labor, and if so, what do we do with that freedom?""
29,"What is the most important lesson you've learned from a book, movie, or piece of art?""
30,"Do humans create value, or do we simply discover the value that already exists?""
31,"Is it more important to be respected or to be liked?""
32,"What current societal norm do you find the most irrational?""
33,"You can save 100 strangers or one person you love. Which do you choose, and does your decision haunt you?""
34,"Would you rather live a long comfortable life or a short life with incredible highs and dangerous lows?""
35,"A genius develops a pill that cures sadness but removes joy. Would you take it?""
36,"Would you rather be able to speak every human language or speak perfectly with every animal?""
37,"You have the power to stop all war, but all music disappears forever. Do you accept the trade?""
38,"Would you rather know when you are going to die or how you are going to die?""
39,"You must commit one petty crime monthly to keep your house dry. What's the most harmless one?""
40,"Would you rather wear the same outfit every day or eat the same meal every day?""
41,"Would you rather have to whisper everything or shout everything?""
42,"You must give up your favorite hobby or your favorite food forever. Which one is easier to sacrifice?""
43,"If you were arrested with no explanation, what would your friends assume you did?""
44,"What movie title best describes your dating history?""
45,"What is the most ridiculous fear you have, even if you know it's irrational?""
46,"Which cartoon character's wardrobe would you happily adopt?""
47,"What's the best Wi-Fi network name you've ever seen?""
48,"If animals could talk, which one would be the rudest?""
49,"What product did you buy that was so terrible it was actually funny?""
50,"What piece of trivial knowledge do you possess that makes you strangely proud?""
51,"You have to teach a class but must lie constantly. What subject do you teach?""
52,"What is the dumbest thing you have ever argued about?""
53,"If you could only eat foods of one color for a year, which color would you choose?""
54,"What's a conspiracy theory you made up but secretly want to believe?""
55,"If your life had a theme song that played when you entered a room, what would it be?""
56,"What's the weirdest compliment you've ever received?""
57,"If you had to live in a sitcom universe, which one would you pick?""
58,"What's your most useless talent?""
59,"If you could rename any everyday object, what would you rename and to what?""
60,"What's the strangest food combination you genuinely enjoy?""
61,"If your pet could rate you as an owner, what star rating would you get?""
62,"What fictional character do you relate to on an embarrassing level?""
63,"What's a hill you're willing to die on that really doesn't matter?""
64,"If you could be any kitchen appliance, which one and why?""
65,"What's the worst fashion choice you've ever committed to?""
66,"If you had to be haunted by a ghost, which historical figure would you choose?""
67,"What emoji do you overuse the most?""
68,"If you could make one thing socially unacceptable, what would it be?""
69,"What's the most interesting thing in your browser history right now?""
70,"If your life was a genre of music, what would it be?""
71,"What's a skill you pretend to have but absolutely don't?""
72,"If you could only communicate in movie quotes for a day, would you survive?""
73,"What's the pettiest thing you've done that you're secretly proud of?""
74,"If you had to wear a hat every day for a year, what style would you choose?""
75,"What's your go-to karaoke song even if you can't sing?""
76,"If you could have any animal as a sidekick, which would be most practical?""
77,"What's the most embarrassing thing you've googled?""
78,"If you had to pick a new profession based purely on the outfit, what would it be?""
79,"What's your signature dance move?""
80,"If you could delete one app from existence, which would cause the most chaos?""
81,"What's the weirdest thing you've done when you thought nobody was watching?""
82,"If you had to live in a specific decade fashion-wise, which would you choose?""
83,"What's the most absurd thing you believed as a child?""
84,"If you could make one food zero calories, what would it be?""
85,"What's your most irrational pet peeve?""
86,"If you had to be famous for something embarrassing, what would you choose?""
87,"What's the strangest tradition your family has?""
88,"If you could only watch one genre of movies forever, which would it be?""
89,"What's the most pointless argument you've won?""
90,"If you had to have one sound effect follow you everywhere, what would it be?""
91,"What's your most controversial food opinion?""
92,"If you could bring back one discontinued snack or drink, what would it be?""
93,"What's the most ridiculous thing you've convinced someone to believe?""
94,"If you had to listen to one song on repeat for 24 hours, which would you choose?""
95,"What's the weirdest dream you remember having?""
96,"If you could eliminate one chore from existence, which would it be?""
97,"What's your spirit animal and why is it wrong?""
98,"If you had to eat one cuisine for the rest of your life, what would it be?""
99,"What's the most embarrassing thing in your camera roll?""
100,"If you could have dinner with any three people, dead or alive, who would you choose?""
101,"What's the strangest nickname you've ever had?""
102,"If you had to live without one of your five senses, which would you choose?""
103,"What's the most impulsive purchase you've ever made?""
104,"If you could instantly master any instrument, which would it be?""
